都道府県,市区町村,CO2_全国_2013,保有台数_全国_2013,保有台数_2013,係数,CO2_2013,CO2_全国_2018,保有台数_全国_2018,保有台数_2018,CO2_2018
茨城県,土浦市,30858,61820330,95252,3.67,174,28484,63638180,98324,161
茨城県,古河市,30858,61820330,92630,3.67,169,28484,63638180,96281,158
茨城県,石岡市,30858,61820330,52931,3.67,96,28484,63638180,53988,88
茨城県,下妻市,30858,61820330,37714,3.67,69,28484,63638180,39377,64
茨城県,常総市,30858,61820330,45066,3.67,82,28484,63638180,46563,76
茨城県,取手市,30858,61820330,55800,3.67,102,28484,63638180,56475,92
茨城県,牛久市,30858,61820330,47300,3.67,86,28484,63638180,50405,82
茨城県,つくば市,30858,61820330,135822,3.67,248,28484,63638180,151495,248
茨城県,鹿嶋市,30858,61820330,46539,3.67,85,28484,63638180,49758,81
茨城県,潮来市,30858,61820330,21384,3.67,39,28484,63638180,21905,35
茨城県,守谷市,30858,61820330,33535,3.67,61,28484,63638180,36957,60
茨城県,坂東市,30858,61820330,40826,3.67,74,28484,63638180,41883,68
茨城県,稲敷市,30858,61820330,33430,3.67,61,28484,63638180,33249,54
茨城県,かすみがうら市,30858,61820330,29582,3.67,54,28484,63638180,30221,49
茨城県,神栖市,30858,61820330,66631,3.67,122,28484,63638180,71910,118
茨城県,行方市,30858,61820330,25632,3.67,46,28484,63638180,25954,42
茨城県,つくばみらい市,30858,61820330,29327,3.67,53,28484,63638180,31672,52
茨城県,小美玉市,30858,61820330,39830,3.67,72,28484,63638180,41227,67
茨城県,美浦村,30858,61820330,15369,3.67,28,28484,63638180,15249,25
茨城県,阿見町,30858,61820330,30632,3.67,56,28484,63638180,32466,53
茨城県,河内町,30858,61820330,6991,3.67,12,28484,63638180,6913,11
茨城県,八千代町,30858,61820330,16451,3.67,30,28484,63638180,16996,27
茨城県,五霞町,30858,61820330,6244,3.67,11,28484,63638180,6232,10
茨城県,境町,30858,61820330,18379,3.67,33,28484,63638180,18819,30
茨城県,利根町,30858,61820330,10351,3.67,18,28484,63638180,10200,16
埼玉県,さいたま市,30858,61820330,476239,3.67,872,28484,63638180,496961,816
埼玉県,川越市,30858,61820330,157989,3.67,289,28484,63638180,163857,269
埼玉県,熊谷市,30858,61820330,124346,3.67,227,28484,63638180,127383,209
埼玉県,川口市,30858,61820330,198119,3.67,362,28484,63638180,205102,336
埼玉県,行田市,30858,61820330,53951,3.67,98,28484,63638180,54552,89
埼玉県,秩父市,30858,61820330,42317,3.67,77,28484,63638180,42703,70
埼玉県,所沢市,30858,61820330,132257,3.67,242,28484,63638180,134719,221
埼玉県,飯能市,30858,61820330,44766,3.67,82,28484,63638180,45044,73
埼玉県,加須市,30858,61820330,70483,3.67,129,28484,63638180,72738,119
埼玉県,本庄市,30858,61820330,51905,3.67,95,28484,63638180,53829,88
埼玉県,東松山市,30858,61820330,52080,3.67,95,28484,63638180,54109,88
埼玉県,春日部市,30858,61820330,103499,3.67,189,28484,63638180,105796,173
埼玉県,狭山市,30858,61820330,74801,3.67,137,28484,63638180,74860,122
埼玉県,羽生市,30858,61820330,34568,3.67,63,28484,63638180,35561,58
埼玉県,鴻巣市,30858,61820330,60526,3.67,110,28484,63638180,62360,102
埼玉県,深谷市,30858,61820330,92985,3.67,170,28484,63638180,96152,157
埼玉県,上尾市,30858,61820330,98819,3.67,181,28484,63638180,102435,168
埼玉県,草加市,30858,61820330,84233,3.67,154,28484,63638180,86573,142
